URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,AVG_SENTENCE_LENGTH,PERCENTAGE_OF_COMPLEX_WORDS,FOG_INDEX,COMPLEX_WORD_COUNT,WORD_COUNT,AVG_SYLLABLES_PER_WORD,PERSONAL_PRONOUNS,AVG_WORD_LENGTH
bctech2011,https://insights.blackcoffer.com/ml-and-ai-based-insurance-premium-model-to-predict-premium-to-be-charged-by-the-insurance-company/,,,,,,,,,,,,,,11.865384615384615,0.6158833063209076,4.992507168682209,380,617,3.0418760469011725,3,8.043760129659644
bctech2012,https://insights.blackcoffer.com/streamlined-integration-interactive-brokers-api-with-python-for-desktop-trading-application/,,,,,,,,,,,,,,15.666666666666666,0.5531914893617021,6.487943262411348,104,188,3.184357541899441,2,8.5
bctech2013,https://insights.blackcoffer.com/efficient-data-integration-and-user-friendly-interface-development-navigating-challenges-in-web-application-deployment/,,,,,,,,,,,,,,15.666666666666666,0.5797872340425532,6.4985815602836885,109,188,3.206703910614525,2,8.52659574468085
bctech2014,https://insights.blackcoffer.com/effective-management-of-social-media-data-extraction-strategies-for-authentication-security-and-reliability/,,,,,,,,,,,,,,15.75,0.582010582010582,6.532804232804233,110,189,3.216666666666667,2,8.492063492063492
bctech2015,https://insights.blackcoffer.com/streamlined-trading-operations-interface-for-metatrader-4-empowering-efficient-management-and-monitoring/,, ,,,,,,,,,,,,15.75,0.5767195767195767,6.530687830687831,109,189,3.2290502793296088,2,8.53968253968254
bctech2016,https://insights.blackcoffer.com/efficient-aws-infrastructure-setup-and-management-addressing-security-scalability-and-compliance/,,,,,,,,,,,,,,15.5,0.5806451612903226,6.43225806451613,108,186,3.209039548022599,2,8.548387096774194
bctech2017,https://insights.blackcoffer.com/streamlined-equity-waterfall-calculation-and-deal-management-system/,,,,,,,,,,,,,,15.75,0.5714285714285714,6.528571428571429,108,189,3.188888888888889,2,8.43915343915344
bctech2019,https://insights.blackcoffer.com/streamlining-time-calculation-in-warehouse-management-leveraging-shiphero-api-and-google-bigquery-integration/,,,,,,,,,,,,,,15.75,0.5714285714285714,6.528571428571429,108,189,3.216666666666667,2,8.497354497354497
bctech2020,https://insights.blackcoffer.com/efficient-database-design-and-management-streamlining-access-and-integration-for-partner-entity-management/,,,,,,,,,,,,,,13.928571428571429,0.5846153846153846,5.805274725274725,114,195,3.274193548387097,2,8.58974358974359
bctech2021,https://insights.blackcoffer.com/automated-campaign-management-system-a-comprehensive-solution-with-linkedin-and-email-integration/,,,,,,,,,,,,,,12.6,0.5767195767195767,5.270687830687831,109,189,3.272222222222222,2,8.708994708994709
bctech2022,https://insights.blackcoffer.com/ai-driven-data-analysis-ai-tool-using-langchain-for-a-leading-real-estate-and-financing-firm-worldwide/,,,,,,,,,,,,,,16.0,0.578125,6.6312500000000005,111,192,3.2131147540983607,2,8.5
bctech2023,https://insights.blackcoffer.com/grafana-dashboard-to-visualize-and-analyze-sensors-data/,,,,,,,,,,,,,,8.568965517241379,0.5492957746478874,3.6473045167557068,273,497,3.134297520661157,2,8.756539235412475
bctech2024,https://insights.blackcoffer.com/mvp-for-a-software-that-analyses-content-from-audio-pharma-based/,,,,,,,,,,,,,,13.714285714285714,0.546875,5.704464285714286,210,384,3.032171581769437,5,8.080729166666666
bctech2025,https://insights.blackcoffer.com/data-engineering-and-management-tool-airbyte-with-custom-data-connectors-to-manage-crm-database/,,,,,,,,,,,,,,11.956521739130435,0.5454545454545454,5.0007905138339925,150,275,3.0228136882129277,3,8.178181818181818
